iter	Passed	Remaining
0	1	108
1	3	148
2	5	165
3	5	139
4	6	130
5	8	127
6	9	125
7	11	132
8	12	127
9	13	125
10	15	124
11	16	121
12	17	119
13	18	116
14	20	114
15	21	114
16	22	112
17	24	109
18	25	107
19	26	104
20	27	101
21	28	100
22	30	100
23	31	98
24	31	95
25	32	93
26	34	92
27	35	91
28	37	90
29	38	88
30	39	86
31	39	84
32	40	82
33	41	80
34	42	78
35	43	77
36	44	75
37	45	74
38	46	73
39	47	71
40	48	69
41	48	67
42	49	65
43	50	64
44	52	63
45	53	62
46	54	61
47	55	59
48	56	58
49	58	58
50	59	56
51	59	55
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	38
65	72	37
66	73	36
67	74	35
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	94	12
88	95	11
89	96	10
90	97	9
91	97	8
92	99	7
93	100	6
94	101	5
95	102	4
96	102	3
97	103	2
98	104	1
99	105	0
